title,audienceRating,contentRating,durationHuman,rating,studio,year
The Bourne Supremacy,,PG-13,1 hr 49 mins,7.3,Universal Pictures,2004
The Bourne Ultimatum,,PG-13,1 hr 55 mins,7.4,Universal Pictures,2007
Boy Erased,7.4,R,1 hr 55 mins,8,Anonymous Content,2018
The Boy in the Striped Pajamas,8.5,PG-13,1 hr 35 mins,6.4,BBC Films,2008
Boyhood,8,R,2 hrs 45 mins,9.7,IFC Films,2014
The Breakfast Club,9.2,R,1 hr 37 mins,8.9,Universal Pictures,1985
Brick Mansions,4.7,PG-13,1 hr 40 mins,2.6,Canal+,2014
Bride of Chucky,4.6,R,1 hr 29 mins,4.9,Universal Pictures,1998
Bridesmaids,7.6,R,2 hrs 10 mins,9,Relativity Media,2011
Brightburn,6.7,R,1 hr 31 mins,5.7,Troll Court Entertainment,2019
Brokeback Mountain,8.2,R,2 hrs 14 mins,8.8,Good Machine,2005
Broken Flowers,7,R,1 hr 46 mins,8.7,Focus Features,2005
The Brothers Grimsby,4.1,R,1 hr 23 mins,3.6,Working Title Films,2016
Bruce Almighty,5.7,PG-13,1 hr 41 mins,4.8,Pit Bull Productions,2003
Brüno,4.1,R,1 hr 21 mins,6.7,Universal Pictures,2009
Bumblebee,,PG-13,1 hr 54 mins,6.7,Paramount,2018
The Cable Guy,5.1,PG-13,1 hr 36 mins,5.5,Columbia Pictures,1996
Call Me by Your Name,8.6,R,2 hrs 12 mins,9.4,Sony Pictures Classics,2017
El Camino: A Breaking Bad Movie,,R,2 hrs 2 mins,6.9,Gran Via Productions,2019
Cannibal Holocaust,6.1,Not Rated,1 hr 36 mins,6.5,F.D. Cinematografica,1980
Captain America: Civil War,,PG-13,2 hrs 28 mins,7.4,Marvel Studios,2016
Captain America: The First Avenger,,PG-13,2 hrs 4 mins,7,Marvel Studios,2011
Captain America: The Winter Soldier,,PG-13,2 hrs 16 mins,7.7,Marvel Studios,2014
Captain Marvel,,PG-13,2 hrs 4 mins,6.9,Marvel Studios,2019
Captain Phillips,8.9,PG-13,2 hrs 14 mins,9.3,Columbia Pictures,2013
Casablanca,9.5,PG,1 hr 43 mins,9.9,Warner Bros. Pictures,1943
Casino Royale,9,PG-13,2 hrs 25 mins,9.4,Columbia Pictures,2006
Catwoman,1.8,PG-13,1 hr 44 mins,0.9,Village Roadshow Pictures,2004
Central Intelligence,6.2,PG-13,1 hr 56 mins,7.1,New Line Cinema,2016
Chappie,,R,2 hrs,6.8,Columbia Pictures,2015
Chef,8.5,R,1 hr 54 mins,8.7,Altus Media,2014
Child's Play,6.3,R,1 hr 27 mins,7.1,United Artists,1988
Child's Play,5.7,R,1 hr 30 mins,6.4,Metro-Goldwyn-Mayer,2019
Child's Play 2,4.8,R,1 hr 24 mins,4,Universal Pictures,1990
Child's Play 3,3.3,R,1 hr 30 mins,2.3,Universal Pictures,1991
Children of Men,8.5,R,1 hr 49 mins,9.2,Universal Pictures,2006
Children of the Corn,4,R,1 hr 32 mins,3.6,Hal Roach Studios,1984
CHIPS,4.5,R,1 hr 41 mins,1.9,Primate Pictures,2017
Christopher Robin,8.3,PG,1 hr 44 mins,7.2,Walt Disney Pictures,2018
The Chronicles of Narnia: Prince Caspian,7.3,PG,2 hrs 30 mins,6.6,Walt Disney Pictures,2008
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,PG,2 hrs 23 mins,7.6,Walt Disney Pictures,2005
The Chronicles of Narnia: The Voyage of the Dawn Treader,5.8,PG,1 hr 53 mins,5,Fox 2000 Pictures,2010
The Chronicles of Riddick,,PG-13,2 hrs 14 mins,6.5,Radar Pictures,2004
Cinderella,7.8,PG,1 hr 45 mins,8.3,Walt Disney Pictures,2015
Citizen Kane,9,PG,1 hr 60 mins,9.9,Mercury Productions,1941
Clash of the Titans,4,PG-13,1 hr 46 mins,2.7,The Zanuck Company,2010
Clear and Present Danger,7.4,PG-13,2 hrs 21 mins,8,Paramount,1994
A Clockwork Orange,9.3,R,2 hrs 17 mins,8.7,Warner Bros. Pictures,1972
Close Encounters of the Third Kind,8.5,PG,2 hrs 17 mins,9.4,Columbia Pictures,1977
Cloverfield,6.8,PG-13,1 hr 25 mins,7.8,Bad Robot,2008
The Cloverfield Paradox,4.2,PG-13,1 hr 42 mins,2.1,Paramount,2018
Coach Carter,8.5,PG-13,2 hrs 16 mins,6.4,Paramount,2005
