title,audienceRating,contentRating,duration,durationHuman,rating,studio,year
Lilo & Stitch,7.7,PG,5122176,1 hr 25 mins,8.7,Walt Disney Pictures,2002
The Lion King,9.3,G,5303634,1 hr 28 mins,9.3,Walt Disney Pictures,1994
The Little Mermaid,8.8,G,4968786,1 hr 23 mins,9.3,Walt Disney Pictures,1989
Luca,8.6,PG,5715113,1 hr 35 mins,9.1,Walt Disney Pictures,2021
Madagascar,6.6,PG,5158195,1 hr 26 mins,5.4,DreamWorks Pictures,2005
Madagascar 3: Europe's Most Wanted,7.2,PG,5604275,1 hr 33 mins,7.8,Pacific Data Images,2012
Madagascar: Escape 2 Africa,6.6,PG,5364484,1 hr 29 mins,6.4,Pacific Data Images,2008
Mary Poppins,8.6,G,8346449,2 hrs 19 mins,9.6,Walt Disney Productions,1964
Mary Poppins Returns,6.5,PG,7829225,2 hrs 10 mins,8,Walt Disney Pictures,2018
Matilda,7.3,PG,5888978,1 hr 38 mins,9.1,Jersey Films,1996
Max Keeble's Big Move,3.8,G,5184263,1 hr 26 mins,2.9,Walt Disney Pictures,2001
Meet the Robinsons,7.4,G,5706643,1 hr 35 mins,6.7,Walt Disney Pictures,2007
Megamind,7.2,PG,5734771,1 hr 36 mins,7.2,Pacific Data Images,2010
The Mighty Ducks,6.5,PG,6217278,1 hr 44 mins,2.1,Touchwood Pacific Partners 1,1992
Mighty Morphin Power Rangers: The Movie,5.6,PG,5741024,1 hr 36 mins,3.4,20th Century Fox,1995
Minions,4.9,PG,5458003,1 hr 31 mins,5.5,Universal Pictures,2015
Minions: The Rise of Gru,8.9,PG,5255917,1 hr 28 mins,7.1,Universal Pictures,2022
Miracle on 34th Street,8.7,Not Rated,5784530,1 hr 36 mins,9.6,20th Century Fox,1947
Moana,8.9,PG,6432893,1 hr 47 mins,9.5,Walt Disney Pictures,2016
Monsters University,8.1,G,6227794,1 hr 44 mins,8,Walt Disney Pictures,2013
Monsters vs. Aliens,5.9,PG,5671616,1 hr 35 mins,7.4,DreamWorks Animation,2009
"Monsters, Inc.",9,G,5528657,1 hr 32 mins,9.6,Pixar,2001
Mr. Bean's Holiday,4.9,G,5374837,1 hr 30 mins,5.1,Universal Pictures,2007
Mulan,8.5,G,5270482,1 hr 28 mins,8.5,Walt Disney Pictures,1998
MVP 2: Most Vertical Primate,3.8,G,5198250,1 hr 27 mins,,Keystone Family Pictures,2001
MVP: Most Valuable Primate,4.1,PG,5568944,1 hr 33 mins,,Keystone Family Pictures,2000
National Lampoon's Christmas Vacation,8.6,PG-13,5831296,1 hr 37 mins,6.7,Warner Bros. Pictures,1989
The NeverEnding Story,8.1,PG,5644639,1 hr 34 mins,8.2,WDR,1984
The NeverEnding Story II: The Next Chapter,4,PG,5391432,1 hr 30 mins,1.4,Warner Bros. Pictures,1990
The NeverEnding Story III,2.6,G,5471049,1 hr 31 mins,,Miramax,1994
Newsies,8.8,PG,7295870,2 hrs 2 mins,3.9,Walt Disney Pictures,1992
The Nightmare Before Christmas,9.1,PG,4599933,1 hr 17 mins,9.5,Walt Disney Pictures,1993
Oliver & Company,6.2,G,4423465,1 hr 14 mins,5,Walt Disney Pictures,1988
One Hundred and One Dalmatians,7.6,G,4756969,1 hr 19 mins,9.8,Walt Disney Productions,1961
Onward,9.5,PG,6141478,1 hr 42 mins,8.8,Walt Disney Pictures,2020
